jurisdiccion;ID1;sector;ambito;presentismo;respondente;matricula del marco;participa
2;782000680687820;Estatal;Urbano;30;30;34;1
2;808500700708085;Privado;Urbano;41;41;42;1
2;889200760768892;Privado;Urbano;13;13;16;1
2;944000800809440;Estatal;Urbano;15;15;18;1
2;971700820829717;Estatal;Urbano;17;17;26;1
2;128960010410412;Privado;Urbano;38;38;41;1
2;135000010810813;Estatal;Urbano;61;61;72;1
2;138050011011013;Estatal;Urbano;76;74;93;1
2;144210011411414;Privado;Urbano;50;50;54;1
2;147320011611614;Privado;Urbano;24;0;28;0
2;179520013613617;Privado;Urbano;22;22;23;1
2;192960014414419;Estatal;Urbano;77;48;87;1
2;220800016016022;Privado;Urbano;52;51;64;1
2;231570016616623;Estatal;Urbano;54;54;63;1
2;238850017017023;Estatal;Urbano;20;20;21;1
2;261170018218226;Privado;Urbano;94;92;101;1
2;268770018618626;Estatal;Urbano;37;37;43;1
2;284210019419428;Privado;Urbano;26;26;27;1
2;292050019819829;Privado;Urbano;22;21;25;1
2;296000020020029;Estatal;Urbano;21;0;28;0
2;299970020220229;Estatal;Urbano;37;34;46;1
2;303960020420430;Estatal;Urbano;20;20;25;1
2;600990600600990;Estatal;Urbano;21;21;25;1
2;801212120080121;Privado;Urbano;24;24;28;1
2;100151520001001;Estatal;Urbano;21;21;22;1
2;120181830001201;Privado;Urbano;21;19;25;1
2;160242456001602;Privado;Urbano;19;19;26;1
2;466500300454665;Estatal;Urbano;48;46;52;1
2;733700460697337;Estatal;Urbano;16;16;16;1
2;907200560849072;Estatal;Urbano;32;32;36;1
2;942500580879425;Estatal;Urbano;17;17;21;1
2;104960064096104;Estatal;Urbano;46;46;50;1
2;108570066099108;Estatal;Urbano;61;59;78;1
2;112200068102112;Estatal;Urbano;23;22;25;1
2;115850070105115;Privado;Urbano;22;22;23;1
2;123210074111123;Estatal;Urbano;16;16;22;1
2;126920076114126;Privado;Urbano;19;19;22;1
2;130650078117130;Privado;Urbano;54;45;57;1
2;153450090135153;Estatal;Urbano;13;13;25;1
2;184970010615918;Estatal;Urbano;22;22;22;1
2;193050011016519;Estatal;Urbano;17;17;22;1
2;197120011216819;Estatal;Urbano;17;16;25;1
2;205320011617420;Privado;Urbano;43;42;48;1
2;209450011817720;Privado;Urbano;31;30;32;1
2;221960012418622;Estatal;Urbano;19;19;26;1
2;238920013219823;Estatal;Urbano;45;42;47;1
2;243210013420124;Estatal;Urbano;40;39;45;1
2;264960014421626;Privado;Urbano;36;36;41;1
2;273800014822227;Privado;Urbano;16;15;20;1
2;319200016825231;Estatal;Urbano;17;17;21;1
2;347400018027034;Estatal;Urbano;32;32;34;1
2;352170018227335;Privado;Urbano;59;59;63;1
2;405960020430640;Privado;Urbano;0;0;27;0
2;410970020630941;Estatal;Urbano;19;19;25;1
2;200440000200440;Estatal;Urbano;30;30;40;1
2;601212060060121;Privado;Urbano;48;48;50;1
2;801616120080161;Privado;Urbano;25;25;30;1
2;100202020001002;Estatal;Urbano;102;101;116;1
2;160323256001603;Privado;Urbano;23;23;25;1
2;220444510002204;Estatal;Urbano;35;35;40;1
2;616500300606165;Privado;Urbano;53;50;62;1
2;659200320646592;Privado;Urbano;48;48;53;1
2;702100340687021;Estatal;Urbano;20;20;22;1
2;788500380767885;Privado;Urbano;19;19;25;1
2;875700420848757;Estatal;Urbano;30;30;35;1
2;919600440889196;Estatal;Urbano;27;27;29;1
2;963700460929637;Estatal;Urbano;29;29;32;1
2;100800048096100;Privado;Urbano;58;58;66;1
2;105250050100105;Estatal;Urbano;41;41;46;1
2;109720052104109;Privado;Urbano;41;41;44;1
2;123250058116123;Privado;Urbano;22;21;25;1
2;136960064128136;Privado;Urbano;12;12;12;1
2;160210074148160;Estatal;Urbano;78;76;97;1
2;179170082164179;Privado;Urbano;18;18;23;1
2;183960084168183;Estatal;Urbano;75;74;89;1
2;193600088176193;Privado;Urbano;33;33;35;1
2;198450090180198;Estatal;Urbano;54;54;68;1
2;223000010020022;Privado;Urbano;24;23;27;1
2;227970010220422;Estatal;Urbano;22;22;24;1
2;268450011823626;Privado;Urbano;19;18;21;1
2;273600012024027;Privado;Urbano;23;22;26;1
2;278770012224427;Privado;Urbano;31;31;34;1
2;299650013026029;Estatal;Urbano;24;24;26;1
2;304920013226430;Estatal;Urbano;51;48;52;1
2;310210013426831;Estatal;Urbano;19;19;24;1
2;315520013627231;Privado;Urbano;0;0;25;0
2;347800014829634;Estatal;Urbano;29;29;34;1
2;358720015230435;Estatal;Urbano;43;41;54;1
2;364210015430836;Estatal;Urbano;21;21;27;1
2;369720015631236;Estatal;Urbano;36;36;53;1
2;380800016032038;Estatal;Urbano;28;28;30;1
2;397570016633239;Privado;Urbano;36;35;38;1
2;408850017034040;Estatal;Urbano;28;28;28;1
2;425920017635242;Estatal;Urbano;31;25;35;1
2;431650017835643;Estatal;Urbano;18;18;19;1
2;437400018036043;Privado;Urbano;28;28;36;1
2;454770018637245;Estatal;Urbano;21;20;24;1
2;460600018837646;Estatal;Urbano;17;15;17;1
2;466450019038046;Estatal;Urbano;19;19;25;1
2;478210019438847;Privado;Urbano;28;28;31;1
2;490050019839649;Estatal;Urbano;30;30;35;1
2;496000020040049;Privado;Urbano;22;22;23;1
2;501970020240450;Estatal;Urbano;18;18;22;1
2;601515060060151;Privado;Urbano;36;36;38;1
2;802020120080202;Privado;Urbano;25;25;26;1
2;100252520001002;Estatal;Urbano;40;37;46;1
2;180454572001804;Privado;Urbano;44;44;51;1
